Provincia;Localidad;Denominación genérica;Denominación específica;Código;Naturaleza;Domicilio;C. Postal;Teléfono
Madrid;Madrid;Centro Privado de Educación Infantil Primaria y Secundaria;LA NATIVIDAD;28021999;Centro privado;CALLE de Torrox 4;28041;917924502
Madrid;Madrid;Centro Privado de Educación Infantil Primaria y Secundaria;LA SALLE;28013863;Centro privado;CALLE del General Romero Basart 50;28044;917050011
Madrid;Madrid;Centro Privado de Educación Infantil Primaria y Secundaria;LA SALLE-SAGRADO CORAZON;28008934;Centro privado;AVDA del Cardenal Herrera Oria 242;28035;917385300
Madrid;Madrid;Centro Privado de Educación Infantil Primaria y Secundaria;LICEO SOROLLA B;28011544;Centro privado;CALLE de Nueva Zelanda 21;28035;913164327
Madrid;Madrid;Centro Privado de Educación Infantil Primaria y Secundaria;MENESIANO;28012767;Centro privado;AVDA de Brasilia 11;28028;917269804
Madrid;Madrid;Centro Privado de Educación Infantil Primaria y Secundaria;NTRA. SRA. DE LA VEGA;28031993;Centro privado;CALLE de Chantada 28;28029;917386700
Madrid;Madrid;Centro Privado de Educación Infantil Primaria y Secundaria;NTRA. SRA. DE LAS ESCUELAS PIAS;28013097;Centro privado;CALLE de Ocaña 191;28047;917183685
Madrid;Madrid;Centro Privado de Educación Infantil Primaria y Secundaria;NTRA. SRA. DEL PILAR;28008508;Centro privado;CALLE de San Benito 6;28029;913151215
Madrid;Madrid;Centro Privado de Educación Infantil Primaria y Secundaria;SAGRADA FAMILIA;28046509;Centro privado;CALLE de Oberón 6;28030;913015281
Madrid;Madrid;Centro Privado de Educación Infantil Primaria y Secundaria;SAGRADO CORAZON;28020107;Centro privado;PLAZA de la Madre María Ana Mogas 12;28034;917340218
Madrid;Madrid;Centro Privado de Educación Infantil Primaria y Secundaria;SAGRADO CORAZON;28008910;Centro privado;CALLE de San Jaime 21;28031;913030140
Madrid;Madrid;Centro Privado de Educación Infantil Primaria y Secundaria;SALESIANOS ATOCHA;28012640;Centro privado;RONDA de Atocha 27;28012;915062100
